Society_name_EA,Family,latitude,longitude,Moralizing.bin,AnimHusbandry,Agriculture,JurLevelGlobal,Stability,Abundance
Sotho,Niger-Congo,-29,28,0,1,1,3,-1.284976569,0.349873243
Suku,Niger-Congo,-6,18,0,1,1,3,1.250605627,0.16042188
Sukuma,Niger-Congo,-3,34,0,1,1,2,0.704863651,0.437269695
Sumbwa,Niger-Congo,-4,32,0,1,1,2,0.724365645,0.517070256
Swazi,Niger-Congo,-27,32,0,1,1,3,-0.517046057,0.77694391
Tiv,Niger-Congo,7,9,0,1,1,1,0.858474277,0.177636895
Toro,Niger-Congo,1,31,0,1,1,3,0.627958743,0.951182522
Tswana,Niger-Congo,-24,27,1,1,1,2,-0.008987137,-0.256027491
Tumbuka,Niger-Congo,-11.975,33.95,0,1,1,2,-0.054385224,0.788557449
Venda,Niger-Congo,-23,30,0,1,1,2,-0.268980791,0.502711391
Yao,Niger-Congo,-13,36,0,0,1,1,0.262921369,0.403019097
Zinza,Niger-Congo,-3,31,0,1,1,3,0.754487512,0.531106896
Azande,Niger-Congo,5,27,0,0,1,2,1.174578682,0.077749082
Banda,Niger-Congo,7,22,0,1,1,0,1.306705081,-0.167741944
Baya,Niger-Congo,6,16,0,1,1,0,0.922438996,0.218536956
Bwaka,Niger-Congo,3,19,0,1,1,1,1.29598916,0.444009794
Ngere,Niger-Congo,7,-8,0,1,1,1,0.553000141,1.034762076
Fali,Niger-Congo,10,14,0,1,1,0,1.543365638,-0.542490652
Soninke,Niger-Congo,15,10,1,1,1,2,1.759843621,-2.115557475
Mbum,Niger-Congo,7,14,0,1,1,1,0.711469723,0.379515207
Mundang,Niger-Congo,10,14,0,1,1,1,1.543365638,-0.542490652
Ngbandi,Niger-Congo,4,22,0,1,1,0,1.299451423,0.319083823
Birifor,Niger-Congo,10,-3,0,1,1,0,0.691967457,0.013956861
Kabre,Niger-Congo,10,2,0,1,1,0,0.759779771,0.032589795
Konkomba,Niger-Congo,10,0,0,1,1,0,0.989245967,-0.166920606
Kusasi,Niger-Congo,11,0,0,1,1,0,1.190066137,-0.459636881
Nono,Niger-Congo,14,-4,1,1,1,1,1.573871272,-1.304299006
Moba,Niger-Congo,11,1,0,1,1,1,1.246587509,-0.401306708
Mossi Ouagadou,Niger-Congo,12,-2,0,1,1,3,1.204174668,-0.73093428
Nankanse,Niger-Congo,10,-1,0,1,1,0,0.981500097,-0.170470998
Tem,Niger-Congo,11,1,0,1,1,2,1.246587509,-0.401306708
Yatenga,Niger-Congo,13,-2,0,1,1,2,1.375085925,-1.042636848
Afikpo,Niger-Congo,6,8,0,1,1,1,0.696005791,0.618603245
Tallensi,Niger-Congo,11,-1,0,1,1,0,1.083337435,-0.431835356
Ashanti,Niger-Congo,7,-2,0,1,1,2,0.579902852,0.532493093
Futajalonke,Niger-Congo,11,-13,1,1,0,2,0.766049775,0.34438888
Bete,Niger-Congo,6,-7,0,1,1,0,0.525036749,0.965128533
Edo,Niger-Congo,6,6,0,1,1,3,0.499152565,0.658648244
Egba,Niger-Congo,7,3,0,1,1,2,0.504819384,0.305066969
Ekiti,Niger-Congo,8,5,0,1,1,2,0.520131478,0.395743002
Ewe,Niger-Congo,7,1,0,1,1,2,0.610428518,0.325924149
Fanti,Niger-Congo,6,-1,0,1,1,1,0.40429638,0.833469394
Fon,Niger-Congo,7,2,0,1,1,3,0.569443304,0.16854453
Ga,Niger-Congo,6,0,0,1,0,0,0.734625226,0.397992331
Gbari,Niger-Congo,10,10,0,1,1,1,1.291049449,-0.282635188
Ibo,Niger-Congo,6,7,0,1,1,1,0.5288888,0.636777222
Ife,Niger-Congo,7,5,0,1,1,3,0.425769257,0.64413841
Igbira,Niger-Congo,8,7,0,1,1,1,0.887546728,0.091499279
Isoko,Niger-Congo,5,6,0,1,1,1,0.341584891,0.848418637
Nupe,Niger-Congo,9,6,1,1,1,2,1.044520802,-0.01528784
Oyo Yoruba,Niger-Congo,8,4,0,1,1,3,0.516104241,0.261697746
Bambara,Niger-Congo,13,-7,0,1,1,1,1.40456891,-0.921629151
Bisa,Niger-Congo,12,0,0,1,1,1,1.322273519,-0.800959318
Bozo,Niger-Congo,14,-5,1,0,0,1,1.469662146,-1.261272664
Diula,Niger-Congo,9,-4,1,1,1,1,0.880040946,0.126887274
Gbande,Niger-Congo,8,-10,0,1,1,1,0.352013971,1.291975016
Kpelle,Niger-Congo,7,-9,0,1,1,1,0.509188651,1.091652131
Mende,Niger-Congo,8,-11,0,1,1,1,0.384670598,1.22922884
Masa,Afro-Asiatic,10,16,0,1,1,0,1.733351141,-0.643056449
Plains Suk,Nilo-Saharan,1,36,0,1,0,1,1.114637341,-0.019303962
Toma,Niger-Congo,11,-9,0,1,1,1,1.019231898,-0.219780892
Yalunka,Niger-Congo,10,-12,1,1,1,1,0.488489975,0.623396985
Bagirmi,Nilo-Saharan,11,17,1,1,1,3,1.898427452,-0.964001386
Bongo,Nilo-Saharan,7,29,0,1,1,1,1.26457444,-0.424642019
Lendu,Nilo-Saharan,2,30,0,1,1,1,0.318690258,1.181041765
Lese,Nilo-Saharan,2,29,0,1,1,1,0.591322752,1.010349517
Logo,Nilo-Saharan,3,30,0,1,1,1,0.752433725,0.607653627
Lugbara,Nilo-Saharan,3,32,0,1,1,1,0.765118796,0.329707305
Madi,Nilo-Saharan,4,32,0,1,1,1,0.742684268,0.315075125
Mamvu,Nilo-Saharan,3,29,0,1,1,0,0.847369153,0.678126171
Mangbetu,Nilo-Saharan,3,28,0,1,1,2,0.825294787,0.765866191
Popoi,Nilo-Saharan,2,26,0,1,1,1,1.124831241,0.666785524
Acholi,Nilo-Saharan,3,32,0,1,1,1,0.765118796,0.329707305
Alur,Nilo-Saharan,2,31,0,1,1,1,0.992680176,0.483426093
Bari,Nilo-Saharan,5,32,0,1,1,0,1.003501654,-0.062457095
Bodi,Nilo-Saharan,5,35,0,1,0,1,1.131830275,-0.483334944
Dinka,Nilo-Saharan,9,29,0,1,0,1,1.386738975,-0.860316946
Dorobo,Nilo-Saharan,0,36,0,0,0,0,-0.092912242,1.093262599
Fajulu,Nilo-Saharan,4,31,0,1,1,0,0.755595369,0.298075708
Hill Suk,Nilo-Saharan,1,36,0,1,1,1,1.114637341,-0.019303962
Jie,Nilo-Saharan,3,34,0,1,1,1,0.593534887,0.027335082
Kakwa,Nilo-Saharan,4,31,0,1,1,1,0.755595369,0.298075708
Kipsigis,Nilo-Saharan,-1,36,0,1,1,2,0.244137284,0.778654049
